SpaceUncovered,WinFrequency,Multiplier
1,0.88,1.1
2,0.77,1.26
3,0.67,1.45
4,0.58,1.68
5,0.5,1.96
6,0.42,2.3
7,0.35,2.73
8,0.3,3.28
9,0.24,3.98
10,0.2,4.9
11,0.16,6.13
12,0.12,7.8
13,0.1,10.14
14,0.07,13.52
15,0.05,18.59
16,0.04,26.56
17,0.02,39.84
18,0.02,63.74
19,0.01,111.55
20,0.0,223.1
21,0.0,557.75
22,0.0,2231.0
