SpaceUncovered,WinFrequency,LoseFrequency,Multiplier,WinEV,LoseEV,EV (%),NumberOfCells,NumberOfBombs,Bet,HouseAdvantage
1,0.96,0.04,1.01,1.0,-4.0,-3.0,25,1,100,0.03
2,0.92,0.08,1.05,5.0,-8.0,-3.0,25,1,100,0.03
3,0.88,0.12,1.1,9.0,-12.0,-3.0,25,1,100,0.03
4,0.84,0.16,1.15,13.0,-16.0,-3.0,25,1,100,0.03
5,0.8,0.2,1.21,17.0,-20.0,-3.0,25,1,100,0.03
6,0.76,0.24,1.28,21.0,-24.0,-3.0,25,1,100,0.03
7,0.72,0.28,1.35,25.0,-28.0,-3.0,25,1,100,0.03
8,0.68,0.32,1.43,29.0,-32.0,-3.0,25,1,100,0.03
9,0.64,0.36,1.52,33.0,-36.0,-3.0,25,1,100,0.03
10,0.6,0.4,1.62,37.0,-40.0,-3.0,25,1,100,0.03
11,0.56,0.44,1.73,41.0,-44.0,-3.0,25,1,100,0.03
12,0.52,0.48,1.87,45.0,-48.0,-3.0,25,1,100,0.03
13,0.48,0.52,2.02,49.0,-52.0,-3.0,25,1,100,0.03
14,0.44,0.56,2.2,53.0,-56.0,-3.0,25,1,100,0.03
15,0.4,0.6,2.42,57.0,-60.0,-3.0,25,1,100,0.03
16,0.36,0.64,2.69,61.0,-64.0,-3.0,25,1,100,0.03
17,0.32,0.68,3.03,65.0,-68.0,-3.0,25,1,100,0.03
18,0.28,0.72,3.46,69.0,-72.0,-3.0,25,1,100,0.03
19,0.24,0.76,4.04,73.0,-76.0,-3.0,25,1,100,0.03
20,0.2,0.8,4.85,77.0,-80.0,-3.0,25,1,100,0.03
21,0.16,0.84,6.06,81.0,-84.0,-3.0,25,1,100,0.03
22,0.12,0.88,8.08,85.0,-88.0,-3.0,25,1,100,0.03
23,0.08,0.92,12.12,89.0,-92.0,-3.0,25,1,100,0.03
24,0.04,0.96,24.25,93.0,-96.0,-3.0,25,1,100,0.03
