SpaceUncovered,WinFrequency,LoseFrequency,Multiplier,WinEV,LoseEV,EV (%),NumberOfCells,NumberOfBombs,Bet,HouseAdvantage
1,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
2,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
3,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
4,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
5,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
6,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
7,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
8,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
9,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
10,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
11,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
12,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
13,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
14,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
15,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
16,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
17,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
18,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
19,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
20,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
21,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
22,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
23,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
24,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
25,1.0,0.0,0.97,-3.0,-0.0,-3.0,25,0,100,0.03
